Variables,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
            HDB 1- And 2-room Flats,"7,969.00","7,924.00","7,782.00","7,515.00","7,809.00","7,973.00","8,407.00","8,884.00","9,348.00","9,646.00","10,150.00","10,941.00","11,526.00","12,176.00","12,585.00","12,896.00","13,097.00","12,993.00","12,968.00","12,871.00"
            HDB 3-room Flats,"52,523.00","53,262.00","51,314.00","49,720.00","49,658.00","49,504.00","50,559.00","51,752.00","52,792.00","53,502.00","54,106.00","54,483.00","53,671.00","53,225.00","53,116.00","52,255.00","51,622.00","50,108.00","48,531.00","46,407.00"
            HDB 4-room Flats,"64,362.00","71,274.00","75,304.00","78,090.00","82,293.00","86,207.00","90,692.00","94,850.00","98,129.00","100,477.00","101,970.00","103,143.00","103,494.00","103,995.00","104,422.00","103,721.00","103,107.00","101,111.00","98,342.00","94,498.00"
            HDB 5-room And Executive Flats,"44,115.00","50,460.00","54,122.00","57,114.00","61,251.00","64,839.00","69,038.00","73,092.00","77,201.00","80,480.00","82,686.00","84,560.00","85,709.00","86,208.00","86,470.00","86,096.00","85,688.00","84,566.00","83,144.00","80,855.00"
        Condominiums & Other Apartments,"13,333.00","15,460.00","17,088.00","17,367.00","19,409.00","21,418.00","23,631.00","25,300.00","26,088.00","27,296.00","28,639.00","29,979.00","31,231.00","32,837.00","35,013.00","37,050.00","39,624.00","42,581.00","45,106.00","47,021.00"
        Landed Properties,"19,781.00","21,029.00","20,896.00","20,066.00","20,467.00","20,941.00","21,323.00","21,845.00","22,098.00","22,358.00","21,911.00","21,586.00","21,251.00","21,145.00","20,888.00","20,210.00","19,754.00","19,132.00","18,653.00","17,997.00"
        Other Types Of Dwelling,"2,523.00","2,464.00","2,301.00","2,110.00","2,139.00","2,251.00","2,268.00","2,402.00","2,503.00","2,590.00","2,553.00","2,586.00","2,655.00","2,747.00","2,712.00","2,630.00","2,491.00","2,323.00","2,221.00","2,033.00"
55-59 Years,"125,061.00","125,449.00","143,175.00","157,894.00","174,788.00","197,803.00","214,601.00","220,983.00","229,356.00","239,947.00","248,696.00","260,678.00","271,817.00","281,069.00","288,392.00","295,063.00","299,591.00","301,678.00","304,390.00","306,759.00"
        Total HDB Dwellings,"104,748.00","104,153.00","118,421.00","131,123.00","144,495.00","163,160.00","176,833.00","182,376.00","190,143.00","198,918.00","206,206.00","216,258.00","225,488.00","232,703.00","238,087.00","243,163.00","245,893.00","246,038.00","246,817.00","247,491.00"
            HDB 1- And 2-room Flats,"6,378.00","5,860.00","6,358.00","6,548.00","7,047.00","7,890.00","8,476.00","8,616.00","8,774.00","9,197.00","9,518.00","10,389.00","11,230.00","12,233.00","13,183.00","14,367.00","14,734.00","14,965.00","15,200.00","15,275.00"
            HDB 3-room Flats,"35,988.00","33,861.00","36,750.00","39,383.00","41,373.00","44,517.00","46,500.00","46,201.00","46,796.00","47,883.00","48,529.00","49,841.00","50,649.00","50,882.00","50,994.00","51,412.00","51,321.00","50,563.00","50,323.00","50,296.00"
            HDB 4-room Flats,"37,587.00","38,419.00","44,792.00","50,164.00","56,077.00","64,067.00","70,030.00","72,804.00","76,668.00","80,518.00","84,079.00","88,288.00","92,384.00","95,096.00","96,988.00","98,349.00","99,454.00","99,553.00","99,937.00","100,231.00"
            HDB 5-room And Executive Flats,"23,738.00","24,957.00","29,517.00","34,079.00","39,057.00","45,637.00","50,734.00","53,661.00","57,023.00","60,437.00","63,245.00","67,000.00","70,470.00","73,820.00","76,605.00","78,799.00","80,158.00","80,957.00","81,357.00","81,689.00"
        Condominiums & Other Apartments,"6,746.00","7,533.00","9,379.00","10,571.00","12,572.00","14,708.00","16,692.00","17,511.00","17,846.00","19,199.00","20,489.00","22,215.00","23,473.00","25,123.00","26,805.00","28,583.00","30,517.00","32,900.00","35,127.00","37,022.00"
        Landed Properties,"11,595.00","11,997.00","13,587.00","14,449.00","15,882.00","17,863.00","18,955.00","18,968.00","19,062.00","19,487.00","19,608.00","19,760.00","20,350.00","20,669.00","20,967.00","20,815.00","20,642.00","20,222.00","19,936.00","19,719.00"
        Other Types Of Dwelling,"1,972.00","1,766.00","1,788.00","1,751.00","1,839.00","2,072.00","2,121.00","2,128.00","2,305.00","2,343.00","2,393.00","2,445.00","2,506.00","2,574.00","2,533.00","2,502.00","2,539.00","2,518.00","2,510.00","2,527.00"
60-64 Years,"110,503.00","118,506.00","123,438.00","121,724.00","122,736.00","117,575.00","118,242.00","135,501.00","153,161.00","169,696.00","191,995.00","208,160.00","213,996.00","222,154.00","231,502.00","240,493.00","251,853.00","262,651.00","271,688.00","278,828.00"
        Total HDB Dwellings,"93,037.00","99,874.00","104,076.00","102,980.00","103,203.00","97,994.00","97,796.00","111,864.00","126,698.00","140,100.00","158,647.00","171,949.00","177,048.00","183,838.00","191,479.00","198,879.00","208,022.00","216,223.00","223,221.00","229,076.00"
            HDB 1- And 2-room Flats,"7,009.00","7,226.00","7,806.00","7,130.00","7,055.00","6,356.00","6,319.00","6,974.00","7,654.00","8,197.00","9,167.00","10,132.00","10,566.00","11,258.00","12,274.00","13,579.00","14,682.00","15,605.00","16,467.00","16,892.00"
            HDB 3-room Flats,"34,090.00","35,449.00","35,355.00","34,196.00","32,786.00","29,945.00","28,904.00","32,454.00","35,815.00","38,688.00","42,593.00","44,639.00","44,142.00","44,102.00","44,528.00","44,863.00","45,833.00","46,618.00","47,399.00","47,658.00"
            HDB 4-room Flats,"31,818.00","34,875.00","37,221.00","37,540.00","38,221.00","36,625.00","36,845.00","42,444.00","48,430.00","53,890.00","61,611.00","67,344.00","69,882.00","73,357.00","76,872.00","80,212.00","83,959.00","87,650.00","89,921.00","92,300.00"
            HDB 5-room And Executive Flats,"19,406.00","21,572.00","23,029.00","23,615.00","24,662.00","24,555.00","25,180.00","29,349.00","34,162.00","38,648.00","44,515.00","49,153.00","51,764.00","54,558.00","57,488.00","59,993.00","63,316.00","66,350.00","69,434.00","72,226.00"
        Condominiums & Other Apartments,"5,228.00","5,980.00","6,570.00","6,635.00","7,237.00","7,610.00","8,353.00","9,887.00","11,082.00","12,699.00","14,547.00","16,208.00","17,016.00","17,974.00","19,388.00","20,786.00","22,506.00","24,474.00","26,336.00","27,444.00"
        Landed Properties,"10,400.00","10,775.00","10,968.00","10,499.00","10,716.00","10,407.00","10,658.00","12,165.00","13,488.00","14,817.00","16,502.00","17,556.00","17,580.00","17,841.00","18,130.00","18,313.00","18,733.00","19,315.00","19,466.00","19,623.00"
        Other Types Of Dwelling,"1,838.00","1,877.00","1,824.00","1,610.00","1,580.00","1,564.00","1,435.00","1,585.00","1,893.00","2,080.00","2,299.00","2,447.00","2,352.00","2,501.00","2,505.00","2,515.00","2,592.00","2,639.00","2,665.00","2,685.00"
65-69 Years,"88,305.00","89,676.00","89,587.00","89,883.00","96,007.00","101,088.00","108,837.00","113,757.00","115,185.00","116,258.00","111,511.00","112,396.00","128,879.00","145,817.00","161,198.00","182,425.00","198,020.00","203,969.00","212,101.00","221,296.00"
        Total HDB Dwellings,"74,218.00","75,330.00","75,141.00","75,802.00","80,743.00","84,450.00","91,061.00","95,348.00","96,395.00","97,159.00","92,739.00","92,727.00","106,322.00","119,928.00","132,053.00","149,609.00","162,333.00","166,911.00","173,904.00","181,847.00"
            HDB 1- And 2-room Flats,"7,008.00","6,745.00","6,668.00","6,400.00","6,766.00","7,045.00","7,432.00","7,767.00","7,585.00","7,435.00","6,793.00","6,866.00","7,812.00","8,922.00","9,991.00","12,029.00","13,182.00","13,963.00","14,855.00","15,680.00"
            HDB 3-room Flats,"25,515.00","25,757.00","25,276.00","25,623.00","26,862.00","27,560.00","29,188.00","30,017.00","29,951.00","29,542.00","27,574.00","26,807.00","29,976.00","32,647.00","34,948.00","38,220.00","40,443.00","40,076.00","40,493.00","41,384.00"
            HDB 4-room Flats,"26,327.00","26,785.00","26,830.00","26,838.00","28,549.00","29,889.00","32,666.00","34,373.00","35,082.00","35,757.00","34,339.00","34,502.00","39,957.00","45,325.00","50,428.00","57,367.00","62,612.00","64,843.00","68,151.00","71,624.00"
            HDB 5-room And Executive Flats,"14,961.00","15,643.00","15,971.00","16,623.00","18,249.00","19,615.00","21,397.00","22,770.00","23,435.00","24,050.00","23,637.00","24,188.00","28,147.00","32,616.00","36,424.00","41,764.00","45,863.00","48,029.00","50,405.00","53,159.00"
        Condominiums & Other Apartments,"3,724.00","4,108.00","4,396.00","4,423.00","5,161.00","5,969.00","6,745.00","7,153.00","7,268.00","7,362.00","7,507.00","8,089.00","9,527.00","11,333.00","13,213.00","15,103.00","16,736.00","18,007.00","18,789.00","19,671.00"
        Landed Properties,"8,381.00","8,445.00","8,444.00","8,273.00","8,727.00","9,155.00","9,466.00","9,627.00","9,596.00","9,848.00","9,526.00","9,888.00","11,218.00","12,513.00","13,729.00","15,292.00","16,342.00","16,439.00","16,606.00","16,892.00"
        Other Types Of Dwelling,"1,982.00","1,793.00","1,606.00","1,385.00","1,376.00","1,514.00","1,565.00","1,629.00","1,926.00","1,889.00","1,739.00","1,692.00","1,812.00","2,043.00","2,203.00","2,421.00","2,609.00","2,612.00","2,802.00","2,886.00"
70-74 Years,"66,948.00","69,048.00","70,642.00","70,002.00","72,485.00","76,545.00","78,317.00","78,631.00","81,307.00","87,428.00","92,618.00","100,073.00","104,414.00","105,746.00","106,815.00","102,631.00","103,796.00","119,494.00","135,546.00","150,127.00"
        Total HDB Dwellings,"55,028.00","56,806.00","58,231.00","58,325.00","60,638.00","63,895.00","65,303.00","65,404.00","67,366.00","72,454.00","76,784.00","83,082.00","86,768.00","87,588.00","87,994.00","84,178.00","84,462.00","96,995.00","109,823.00","121,738.00"
            HDB 1- And 2-room Flats,"6,372.00","6,250.00","6,388.00","5,940.00","6,126.00","6,326.00","6,433.00","6,330.00","6,356.00","6,664.00","6,923.00","7,427.00","7,804.00","7,819.00","7,858.00","7,620.00","7,774.00","9,061.00","10,435.00","11,608.00"
            HDB 3-room Flats,"17,500.00","17,823.00","18,054.00","18,332.00","19,058.00","19,796.00","20,213.00","20,407.00","21,115.00","22,818.00","24,311.00","25,898.00","26,361.00","26,005.00","25,391.00","23,651.00","23,169.00","26,170.00","29,048.00","31,302.00"
            HDB 4-room Flats,"19,361.00","20,252.00","20,989.00","21,177.00","21,965.00","23,237.00","23,593.00","23,407.00","23,978.00","25,617.00","27,130.00","29,648.00","31,289.00","31,852.00","32,357.00","31,086.00","31,278.00","36,278.00","41,009.00","45,727.00"
            HDB 5-room And Executive Flats,"11,494.00","12,186.00","12,552.00","12,680.00","13,331.00","14,347.00","14,858.00","15,024.00","15,722.00","17,129.00","18,172.00","19,860.00","21,065.00","21,695.00","22,224.00","21,671.00","22,095.00","25,486.00","29,331.00","33,101.00"
        Condominiums & Other Apartments,"2,984.00","3,244.00","3,440.00","3,332.00","3,516.00","3,886.00","4,223.00","4,496.00","4,671.00","5,152.00","5,705.00","6,365.00","6,734.00","7,166.00","7,491.00","7,614.00","8,228.00","10,080.00","11,883.00","13,305.00"
        Landed Properties,"6,786.00","6,994.00","7,186.00","6,887.00","6,961.00","7,220.00","7,370.00","7,346.00","7,499.00","7,959.00","8,272.00","8,570.00","8,842.00","8,897.00","9,180.00","8,872.00","9,217.00","10,376.00","11,473.00","12,501.00"
        Other Types Of Dwelling,"2,150.00","2,004.00","1,785.00","1,458.00","1,370.00","1,544.00","1,421.00","1,385.00","1,771.00","1,863.00","1,857.00","2,056.00","2,070.00","2,095.00","2,150.00","1,967.00","1,889.00","2,043.00","2,367.00","2,583.00"
75-79 Years,"39,644.00","42,501.00","45,830.00","42,863.00","47,875.00","51,601.00","54,413.00","56,732.00","59,001.00","61,490.00","65,178.00","66,909.00","67,675.00","70,619.00","76,294.00","81,211.00","87,955.00","91,953.00","93,327.00","94,600.00"
        Total HDB Dwellings,"32,314.00","34,493.00","37,234.00","35,465.00","39,539.00","41,998.00","44,335.00","46,288.00","47,787.00","50,092.00","53,333.00","54,675.00","55,218.00","57,446.00","62,050.00","66,019.00","71,583.00","74,697.00","75,648.00","76,526.00"
            HDB 1- And 2-room Flats,"3,819.00","4,090.00","4,491.00","3,571.00","4,128.00","4,404.00","4,690.00","4,958.00","5,038.00","5,149.00","5,314.00","5,494.00","5,540.00","5,777.00","6,113.00","6,664.00","7,205.00","7,619.00","7,665.00","7,791.00"
            HDB 3-room Flats,"9,967.00","10,487.00","11,125.00","10,593.00","11,734.00","12,224.00","12,909.00","13,512.00","14,050.00","14,920.00","16,059.00","16,466.00","16,629.00","17,148.00","18,562.00","19,760.00","21,281.00","21,805.00","21,850.00","21,606.00"
            HDB 4-room Flats,"11,199.00","12,032.00","13,135.00","13,095.00","14,466.00","15,306.00","16,158.00","16,701.00","17,392.00","18,150.00","19,385.00","19,696.00","19,681.00","20,419.00","21,987.00","23,323.00","25,498.00","26,897.00","27,409.00","27,926.00"
            HDB 5-room And Executive Flats,"7,094.00","7,659.00","8,300.00","8,069.00","9,082.00","9,925.00","10,437.00","10,970.00","11,191.00","11,759.00","12,457.00","12,919.00","13,244.00","13,978.00","15,291.00","16,174.00","17,487.00","18,376.00","18,724.00","19,203.00"
        Condominiums & Other Apartments,"1,789.00","2,059.00","2,288.00","2,047.00","2,372.00","2,809.00","3,042.00","3,209.00","3,217.00","3,316.00","3,552.00","3,850.00","4,118.00","4,491.00","5,082.00","5,664.00","6,199.00","6,823.00","7,128.00","7,311.00"
        Landed Properties,"4,242.00","4,437.00","4,650.00","4,239.00","4,749.00","5,291.00","5,581.00","5,820.00","6,002.00","6,057.00","6,284.00","6,396.00","6,434.00","6,711.00","7,068.00","7,367.00","7,736.00","7,917.00","7,892.00","8,169.00"
        Other Types Of Dwelling,"1,299.00","1,512.00","1,658.00","1,112.00","1,215.00","1,503.00","1,455.00","1,415.00","1,995.00","2,025.00","2,009.00","1,988.00","1,905.00","1,971.00","2,094.00","2,161.00","2,437.00","2,516.00","2,659.00","2,594.00"
80-84 Years,"22,876.00","23,897.00","25,213.00","25,783.00","26,864.00","27,879.00","29,443.00","31,519.00","33,882.00","37,143.00","39,839.00","42,145.00","44,115.00","46,199.00","48,418.00","51,785.00","53,556.00","54,341.00","57,103.00","62,293.00"
        Total HDB Dwellings,"18,404.00","19,172.00","20,309.00","20,888.00","21,667.00","22,107.00","23,407.00","25,134.00","26,570.00","29,116.00","31,332.00","33,086.00","34,738.00","36,452.00","38,433.00","41,364.00","42,687.00","43,021.00","45,012.00","49,238.00"
            HDB 1- And 2-room Flats,"2,088.00","2,163.00","2,383.00","2,315.00","2,356.00","2,381.00","2,484.00","2,594.00","2,668.00","2,996.00","3,196.00","3,396.00","3,577.00","3,825.00","4,006.00","4,385.00","4,500.00","4,559.00","4,828.00","5,209.00"
            HDB 3-room Flats,"5,755.00","5,809.00","5,872.00","6,077.00","6,256.00","6,171.00","6,480.00","7,026.00","7,359.00","8,199.00","8,868.00","9,382.00","9,808.00","10,240.00","10,972.00","11,826.00","12,322.00","12,554.00","13,148.00","14,414.00"
            HDB 4-room Flats,"6,255.00","6,629.00","7,154.00","7,438.00","7,776.00","7,963.00","8,448.00","9,210.00","9,780.00","10,684.00","11,442.00","12,034.00","12,660.00","13,342.00","13,999.00","15,055.00","15,424.00","15,400.00","16,036.00","17,442.00"
            HDB 5-room And Executive Flats,"4,164.00","4,420.00","4,784.00","4,975.00","5,201.00","5,499.00","5,895.00","6,194.00","6,671.00","7,138.00","7,732.00","8,191.00","8,616.00","8,983.00","9,406.00","10,058.00","10,393.00","10,508.00","11,000.00","12,173.00"
        Condominiums & Other Apartments,"1,110.00","1,214.00","1,312.00","1,344.00","1,441.00","1,540.00","1,686.00","1,837.00","1,890.00","2,062.00","2,246.00","2,497.00","2,552.00","2,705.00","2,860.00","3,151.00","3,395.00","3,761.00","4,069.00","4,553.00"
        Landed Properties,"2,598.00","2,741.00","2,829.00","2,829.00","2,952.00","3,085.00","3,177.00","3,370.00","3,559.00","3,922.00","4,249.00","4,524.00","4,814.00","5,005.00","5,099.00","5,216.00","5,318.00","5,411.00","5,621.00","5,925.00"
        Other Types Of Dwelling,764,770,763,722,804,"1,147.00","1,173.00","1,178.00","1,863.00","2,043.00","2,012.00","2,038.00","2,011.00","2,037.00","2,026.00","2,054.00","2,156.00","2,148.00","2,401.00","2,577.00"
85-89 Years,"12,092.00","12,500.00","13,047.00","13,217.00","13,778.00","14,514.00","15,206.00","15,923.00","16,734.00","17,569.00","18,481.00","19,756.00","21,503.00","23,235.00","25,486.00","27,494.00","29,086.00","30,481.00","31,991.00","33,935.00"
        Total HDB Dwellings,"9,529.00","9,840.00","10,252.00","10,485.00","10,869.00","11,039.00","11,606.00","12,296.00","12,456.00","13,011.00","13,844.00","14,816.00","16,192.00","17,480.00","19,121.00","20,791.00","22,030.00","23,120.00","24,217.00","25,905.00"
            HDB 1- And 2-room Flats,"1,226.00","1,204.00","1,256.00","1,241.00","1,316.00","1,279.00","1,336.00","1,371.00","1,334.00","1,328.00","1,384.00","1,517.00","1,645.00","1,794.00","1,963.00","2,131.00","2,261.00","2,440.00","2,541.00","2,690.00"
            HDB 3-room Flats,"2,910.00","2,929.00","3,054.00","3,104.00","3,151.00","3,093.00","3,166.00","3,380.00","3,432.00","3,577.00","3,836.00","4,045.00","4,380.00","4,657.00","5,132.00","5,614.00","6,012.00","6,331.00","6,676.00","7,271.00"
            HDB 4-room Flats,"3,145.00","3,332.00","3,484.00","3,554.00","3,772.00","3,886.00","4,135.00","4,407.00","4,518.00","4,685.00","4,980.00","5,361.00","5,970.00","6,436.00","7,054.00","7,643.00","8,098.00","8,515.00","9,003.00","9,572.00"
            HDB 5-room And Executive Flats,"2,170.00","2,304.00","2,399.00","2,532.00","2,586.00","2,728.00","2,913.00","3,083.00","3,136.00","3,377.00","3,591.00","3,846.00","4,150.00","4,549.00","4,947.00","5,380.00","5,633.00","5,834.00","5,997.00","6,372.00"
        Condominiums & Other Apartments,555,595,672,660,748,865,938,988,977,963,"1,000.00","1,132.00","1,266.00","1,379.00","1,562.00","1,693.00","1,865.00","1,986.00","2,150.00","2,215.00"
        Landed Properties,"1,452.00","1,512.00","1,578.00","1,516.00","1,574.00","1,717.00","1,850.00","1,886.00","1,937.00","2,053.00","2,105.00","2,188.00","2,348.00","2,566.00","2,834.00","3,060.00","3,274.00","3,465.00","3,605.00","3,735.00"
        Other Types Of Dwelling,556,553,545,556,587,893,812,753,"1,364.00","1,542.00","1,532.00","1,620.00","1,697.00","1,810.00","1,969.00","1,950.00","1,917.00","1,910.00","2,019.00","2,080.00"
90 Years & Over,"5,431.00","6,017.00","6,705.00","6,890.00","7,532.00","8,066.00","8,510.00","9,024.00","9,681.00","10,244.00","10,760.00","11,366.00","12,050.00","12,821.00","13,390.00","14,169.00","15,157.00","16,454.00","17,786.00","19,429.00"
        Total HDB Dwellings,"4,170.00","4,594.00","5,143.00","5,288.00","5,705.00","5,649.00","5,990.00","6,451.00","6,410.00","6,729.00","7,141.00","7,568.00","8,158.00","8,748.00","9,138.00","9,732.00","10,404.00","11,462.00","12,414.00","13,540.00"
            HDB 1- And 2-room Flats,587,626,685,698,762,760,796,835,819,860,834,868,980,"1,038.00","1,076.00","1,140.00","1,236.00","1,345.00","1,449.00","1,569.00"
            HDB 3-room Flats,"1,230.00","1,362.00","1,475.00","1,534.00","1,650.00","1,563.00","1,597.00","1,722.00","1,668.00","1,767.00","1,938.00","2,043.00","2,177.00","2,337.00","2,397.00","2,592.00","2,765.00","3,041.00","3,262.00","3,570.00"
            HDB 4-room Flats,"1,410.00","1,552.00","1,757.00","1,821.00","1,945.00","1,892.00","2,058.00","2,229.00","2,208.00","2,311.00","2,496.00","2,645.00","2,846.00","3,070.00","3,246.00","3,468.00","3,719.00","4,140.00","4,463.00","4,898.00"
            HDB 5-room And Executive Flats,901,"1,005.00","1,178.00","1,204.00","1,317.00","1,401.00","1,507.00","1,632.00","1,692.00","1,767.00","1,845.00","1,986.00","2,124.00","2,273.00","2,395.00","2,515.00","2,666.00","2,936.00","3,240.00","3,503.00"
        Condominiums & Other Apartments,192,247,288,301,351,421,461,499,482,526,585,639,673,709,752,818,908,"1,037.00","1,094.00","1,187.00"
        Landed Properties,636,693,771,780,817,915,999,"1,083.00","1,104.00","1,159.00","1,257.00","1,387.00","1,458.00","1,517.00","1,592.00","1,686.00","1,798.00","1,916.00","2,080.00","2,271.00"
        Other Types Of Dwelling,433,483,503,521,659,"1,081.00","1,060.00",991,"1,685.00","1,830.00","1,777.00","1,772.00","1,761.00","1,847.00","1,908.00","1,933.00","2,047.00","2,039.00","2,198.00","2,431.00"
,,,,,,,,,,,,,,,,,,,,
Residents comprise Singapore citizens and permanent residents.  Data from 2003 onwards exclude residents who have been away from Singapore for a continuous period of 12 months or longer as at the reference period.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
  TOTAL HDB DWELLINGS - Includes non-privatised Housing and Urban Development Corporation (HUDC) flats prior to 2017.,,,,,,,,,,,,,,,,,,,,
   HDB 1- AND 2-ROOM FLATS - Includes HDB studio apartments.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOURCE: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,
Date generated: 28/06/2020,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,
